id,jcwName
1,"Proceedings of the First IEEE International Workshop on Sensor Network Protocols and Applications, 2003."
2,International Workshop on Data Management on New Hardware
3,Alberto Mendelzon Workshop on Foundations of Data Management
4,International Workshop on Graph Data Management Experiences and Systems
5,ACM SIGSPATIAL International Workshop on Advances in Geographic Information Systems
6,DASFAA Workshops
7,International Workshop on the Semantic Web
8,2015 IEEE Security and Privacy Workshops
9,ESWC Workshops
10,UK Workshop on Computational Intelligence
11,International Workshop on Data Warehousing and OLAP
12,EDBT Workshops
13,2014 IEEE Workshop on Advanced Research and Technology in Industry Applications (WARTIA)
